# Datos de IPC del INE. Medias anuales de IPC para Castilla-La Mancha, índice general:
#   http://www.ine.es/jaxiT3/Tabla.htm?t=22350&L=0
# Las tasas de inflación se refieren a la media de las tasas interanuales durante los 12
# meses del año. Esta media es calculada por el INE y publicada en la dirección indicada.
# La aplicación calcula internamente un índice de inflación a partir de estas tasas, tal que:
#    Indice Año Actual = 100
#    Indice Año N-1 = Indice Año N / (1+Inflación Año N)
#
# Nota: los presupuestos de un año X se ajustan con el índice de la inflación del año anterior.
# Por tanto el índice del año actual no se usa. De hecho sólo se conoce cuando termina el año.
#
2010,2.0
2011,3.7
2012,2.4
2013,1.3
2014,-0.4
2015,-1.0
2016,-0.5
2017,2.1
2018,1.9
2019,0.6
2020,-06
2021,0
